Script,Accuracy,Precision,Recall,Specificity,F1 Score,AUC
KnnGabor6040,77.0,0.79,0.69,0.84,0.73,
KnnGaborCV,93.8,,,,,
KNN_FullImage6040,75.0,0.62,0.67,0.79,0.64,
KNN_FullImage_CV,78.0,0.77,,0.81,0.76,0.78
KNN_FullImage,61.11,0.44,0.63,0.6,0.52,
KNN_Gabor,61.67,0.45,0.63,0.61,0.52,
KNN_HOG_6040,71.0,0.98,0.3,0.99,0.46,
KNN_HOG_CV,93.09,1.0,1.0,1.0,1.0,
KNN_HOG,74.44,1.0,0.13,1.0,0.24,
KNN_LBP_6040,80.67,0.88,0.67,0.93,0.76,
KNN_LBP_CV,95.21,0.99,0.99,0.99,0.99,
KNN_LBP,60.56,0.41,0.75,0.45,0.53,
KNN_PCA_6040,79.67,0.81,0.73,0.85,0.77,
KNN_PCA_CV,97.31,0.97,0.97,0.97,0.97,0.45
KNN_PCA,60.0,0.45,0.93,0.43,0.61,
